"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105057,440,"EFE_full","EFE_full",-230.707892650549,-472.623826654502,-258.844254041753,-304.984759446376,-239.838054740918,-478.710601381415,-264.931028768665,-311.071534173289,241.915934003953,238.872546640497
"EFE_full",105058,440,"EFE_full","EFE_full",-228.297748383949,-303.497313400957,-258.443303251617,-304.984759446376,-237.427910474318,-309.58408812787,-264.530077978529,-311.071534173289,75.1995650170081,72.1561776535519
"EFE_full",105059,440,"EFE_full","EFE_full",-239.864317353816,-323.370059270205,-256.151421493686,-304.984759446376,-248.994479444184,-329.456833997117,-262.238196220599,-311.071534173289,83.5057419163893,80.4623545529332
"EFE_full",105060,440,"EFE_full","EFE_full",-242.552850622198,-315.324354753626,-264.281003195704,-304.984759446376,-251.683012712566,-321.411129480538,-270.367777922616,-311.071534173289,72.7715041314286,69.7281167679724
"EFE_full",105061,440,"EFE_full","EFE_full",-234.111860015366,-345.369869800687,-257.091099314262,-304.984759446376,-243.242022105735,-351.456644527599,-263.177874041174,-311.071534173289,111.258009785321,108.214622421864
"EFE_full",105062,440,"EFE_full","EFE_full",-241.937647423632,-341.024930904996,-263.746979324717,-304.984759446376,-251.067809514,-347.111705631908,-269.833754051629,-311.071534173289,99.0872834813644,96.0438961179083
"EFE_full",105063,440,"EFE_full","EFE_full",-246.108692751501,-343.643562980978,-258.514174155377,-304.984759446376,-255.238854841869,-349.730337707891,-264.60094888229,-311.071534173289,97.5348702294778,94.4914828660217
"EFE_full",105064,440,"no_epistemic","no_epistemic",-278.180276308085,-1082.63457061012,-256.579024866398,-304.984759446376,-287.310438398453,-1088.72134533703,-262.665799593311,-311.071534173289,804.454294302037,801.410906938581
"EFE_full",105065,440,"EFE_full","EFE_full",-237.77222502605,-317.576163297793,-259.699231291614,-304.984759446376,-246.902387116418,-323.662938024705,-265.786006018527,-311.071534173289,79.8039382717429,76.7605509082867
"EFE_full",105066,440,"EFE_full","EFE_full",-245.463552317028,-347.83853578583,-263.53103703943,-304.984759446376,-254.593714407397,-353.925310512743,-269.617811766342,-311.071534173289,102.374983468802,99.331596105346
